state,election_date,election_code,source,source_note
MO,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
MS,2024-03-12,Primary,l2,"L2 dominant Primary_ column, 328,239 non-null voters"
MS,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
MS,2026-03-10,Primary,l2,"L2 dominant Primary_ column, 294,901 non-null voters"
MS,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
MT,2024-06-04,Primary,l2,"L2 dominant Primary_ column, 293,400 non-null voters"
MT,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
MT,2026-06-02,Primary,ballotready,BallotReady 'Montana Primary Election' (560 races)
MT,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
NC,2024-03-05,Primary,l2,"L2 dominant Primary_ column, 1,733,269 non-null voters"
NC,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
NC,2026-03-03,Primary,l2,"L2 dominant Primary_ column, 1,507,255 non-null voters"
NC,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
ND,2024-06-11,Primary,l2,"L2 dominant Primary_ column, 117,635 non-null voters"
ND,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
ND,2026-06-09,Primary,ballotready,BallotReady 'North Dakota Primary Election' (765 races)
ND,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
NE,2024-05-14,Primary,l2,"L2 dominant Primary_ column, 329,342 non-null voters"
NE,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
NE,2026-05-12,Primary,l2,"L2 dominant Primary_ column, 355,681 non-null voters"
NE,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
NH,2024-09-10,Primary,l2,"L2 dominant Primary_ column, 259,776 non-null voters"
NH,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
NH,2026-09-08,Primary,ballotready,BallotReady 'New Hampshire Primary Election' (309 races)
NH,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
NJ,2024-06-04,Primary,l2,"L2 dominant Primary_ column, 870,249 non-null voters"
NJ,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
NJ,2026-06-02,Primary,l2,"L2 dominant Primary_ column, 856,675 non-null voters"
NJ,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
NM,2024-06-04,Primary,l2,"L2 dominant Primary_ column, 221,807 non-null voters"
NM,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
NM,2026-06-02,Primary,ballotready,BallotReady 'New Mexico Primary Election' (351 races)
NM,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
NV,2024-06-11,Primary,l2,"L2 dominant Primary_ column, 348,379 non-null voters"
NV,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
NV,2026-06-09,Primary,ballotready,BallotReady 'Nevada Primary Election' (517 races)
NV,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
NY,2024-06-25,Primary,l2,"L2 dominant Primary_ column, 501,542 non-null voters"
NY,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
NY,2026-06-23,Primary,ballotready,"BallotReady 'New York Primary Election' (1,160 races)"
NY,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
OH,2024-03-19,Primary,l2,"L2 dominant Primary_ column, 1,718,336 non-null voters"
OH,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
OH,2026-05-05,Primary,ballotready,BallotReady 'Ohio Primary Election' (553 races)
OH,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
OK,2024-06-18,Primary,l2,"L2 dominant Primary_ column, 283,501 non-null voters"
OK,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
OK,2026-06-16,Primary,ballotready,BallotReady 'Oklahoma Primary Election' (635 races)
OK,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
OR,2024-05-21,Primary,l2,"L2 dominant Primary_ column, 1,008,308 non-null voters"
OR,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
OR,2026-05-19,Primary,ballotready,BallotReady 'Oregon Primary Election' (934 races)
OR,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
PA,2024-04-23,Primary,l2,"L2 dominant Primary_ column, 2,018,822 non-null voters"
PA,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
PA,2026-05-19,Primary,ballotready,"BallotReady 'Pennsylvania Primary Election' (1,737 races)"
PA,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
RI,2024-09-10,Primary,l2,"L2 dominant Primary_ column, 78,762 non-null voters"
RI,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
RI,2026-09-09,Primary,ballotready,BallotReady 'Rhode Island Primary Election' (273 races)
RI,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
SC,2024-06-11,Primary,l2,"L2 dominant Primary_ column, 481,085 non-null voters"
SC,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
SC,2026-06-09,Primary,ballotready,BallotReady 'South Carolina Primary Election' (648 races)
SC,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
SD,2024-06-04,Primary,l2,"L2 dominant Primary_ column, 96,767 non-null voters"
SD,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
SD,2026-06-02,Primary,ballotready,BallotReady 'South Dakota Primary Election' (525 races)
SD,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
TN,2024-08-01,Primary,l2,"L2 dominant Primary_ column, 625,536 non-null voters"
TN,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
TN,2026-08-06,Primary,ballotready,"BallotReady 'Tennessee Primary Election' (2,505 races)"
TN,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
TX,2024-03-05,Primary,l2,"L2 dominant Primary_ column, 3,277,141 non-null voters"
TX,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
TX,2026-03-03,Primary,ballotready,"BallotReady 'Texas Primary Election' (3,712 races)"
TX,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
UT,2024-06-25,Primary,l2,"L2 dominant Primary_ column, 391,077 non-null voters"
UT,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
UT,2026-06-23,Primary,ballotready,BallotReady 'Utah Primary Election' (383 races)
UT,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
VA,2024-06-18,Primary,l2,"L2 dominant Primary_ column, 501,778 non-null voters"
VA,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
VA,2026-08-04,Primary,ballotready,BallotReady 'Virginia Primary Election' (180 races)
VA,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
VT,2024-08-13,Primary,l2,"L2 dominant Primary_ column, 70,468 non-null voters"
VT,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
VT,2026-08-11,Primary,ballotready,BallotReady 'Vermont Primary Election' (198 races)
VT,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
WA,2024-08-06,Primary,l2,"L2 dominant Primary_ column, 2,645,780 non-null voters"
WA,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
WA,2026-08-04,Primary,ballotready,BallotReady 'Washington Primary Election' (609 races)
WA,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
WI,2024-08-13,Primary,l2,"L2 dominant Primary_ column, 1,248,947 non-null voters"
WI,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
WI,2026-08-11,Primary,ballotready,BallotReady 'Wisconsin Primary Election' (299 races)
WI,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
WV,2024-05-14,Primary,l2,"L2 dominant Primary_ column, 341,619 non-null voters"
WV,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
WV,2026-05-12,Primary,ballotready,BallotReady 'West Virginia Primary Election' (467 races)
WV,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
WY,2024-08-20,Primary,l2,"L2 dominant Primary_ column, 116,060 non-null voters"
WY,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
WY,2026-08-18,Primary,ballotready,BallotReady 'Wyoming Primary Election' (439 races)
WY,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
