internal_name,label,hubspot_type,hubspot_group,status,column_name,cast_type,sort_order,description
issue_id,issue Id,string,serve_-_community_issues_-_high_priority_issues_generated,generated,high_priority_issue_id,string,248,
summary,Summary,string,serve_-_community_issues_-_high_priority_issues_generated,generated,high_priority_issue_summary,string,249,
title,Title,string,serve_-_community_issues_-_high_priority_issues_generated,generated,high_priority_issue_title,string,250,
plan_duration,Plan Duration,string,win_campaign_plan,generated,plan_duration,string,251,
plan_enabled,Plan Enabled,bool,win_campaign_plan,generated,plan_enabled,boolean,252,
plan_start_date,Plan Start Date,date,win_campaign_plan,generated,plan_start_date,date,253,
plan_tasks_completed,Plan Tasks Completed,number,win_campaign_plan,generated,plan_tasks_completed,double,254,
plan_total_tasks,Plan Total Tasks,number,win_campaign_plan,generated,plan_total_tasks,double,255,
task_description_1,Task Description 1,string,win_campaign_plan,generated,task_description_1,string,256,
task_description_2,Task Description 2,string,win_campaign_plan,generated,task_description_2,string,257,
task_description_3,Task Description 3,string,win_campaign_plan,generated,task_description_3,string,258,
task_description_4,Task Description 4,string,win_campaign_plan,generated,task_description_4,string,259,
task_description_5,Task Description 5,string,win_campaign_plan,generated,task_description_5,string,260,
task_due_date_1,Task Due Date 1,date,win_campaign_plan,generated,task_due_date_1,date,261,
task_due_date_2,Task Due Date 2,date,win_campaign_plan,generated,task_due_date_2,date,262,
task_due_date_3,Task Due Date 3,date,win_campaign_plan,generated,task_due_date_3,date,263,
task_due_date_4,Task Due Date 4,date,win_campaign_plan,generated,task_due_date_4,date,264,
task_due_date_5,Task Due Date 5,date,win_campaign_plan,generated,task_due_date_5,date,265,
task_name_1,Task Name 1,string,win_campaign_plan,generated,task_name_1,string,266,
task_name_2,Task Name 2,string,win_campaign_plan,generated,task_name_2,string,267,
task_name_3,Task Name 3,string,win_campaign_plan,generated,task_name_3,string,268,
task_name_4,Task Name 4,string,win_campaign_plan,generated,task_name_4,string,269,
task_name_5,Task Name 5,string,win_campaign_plan,generated,task_name_5,string,270,
task_status_1,Task Status 1,enumeration,win_campaign_plan,generated,task_status_1,string,271,
task_status_2,Task Status 2,enumeration,win_campaign_plan,generated,task_status_2,string,272,
task_status_3,Task Status 3,enumeration,win_campaign_plan,generated,task_status_3,string,273,
task_status_4,Task Status 4,enumeration,win_campaign_plan,generated,task_status_4,string,274,
task_status_5,Task Status 5,enumeration,win_campaign_plan,generated,task_status_5,string,275,
task_type,Task Type,enumeration,win_campaign_plan,generated,task_type,string,276,
connected_with_rep,Connected with rep,enumeration,contactinformation,generated,connected_with_rep,string,277,
